Date,Calories,Carbs,Fat,Protein
2026-08-12,1544,145,49,138
2026-08-13,2325,118,111,210
2026-08-14,2381,60,156,188
2026-08-15,1373,154,37,119
2026-08-16,1835,168,61,178
2026-08-17,2125,255,40,227
2026-08-18,2129,211,53,204
2026-08-19,2242,198,77,194
2026-08-20,2375,217,53,239
2026-08-21,2120,178,65,211
2026-08-22,2718,236,83,225
2026-08-23,2032,174,64,189
2026-08-24,1992,182,59,191
2026-08-25,1983,185,59,180
2026-08-26,2281,184,65,220
2026-08-27,2083,177,63,206
2026-08-28,2123,180,64.5,201.7
2026-08-29,1979,168,56,198
2026-08-30,1851,160,50,192
2026-08-31,1836,168,48,185
2026-09-01,1865,163,51,191
2026-09-02,1836,156,52,186
2026-09-03,1908,156,53,195
